_id,Manufacturer Type (Type de fabricant),Manufacturer Name (Nom du fabricant),Manufacturer's Brand (Marque du fabricant)
1,Beer Manufacturer,9664483 Canada Inc. o/a Goose Island Brewing Company Ontario,
2,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Amsterdam Big Wheel
3,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Amsterdam Blonde Beer
4,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Amsterdam Frambois
5,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Amsterdam Natural Blonde Lager
6,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Amsterdam Natural Light
7,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Amsterdam Nut Brown Ale
8,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Amsterdam Pomegranate Wheat Beer
9,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Kawartha Cream Ale
10,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Kawartha Lakes Nut Brown
11,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Kawartha Premium Pale Ale
12,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Kawartha Raspberry Wheat
13,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Orangeweisse Wheat
14,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,The Stout
15,Beer Manufacturer,Amsterdam Brewing Co. Limited o/a Amsterdam Brewing Co.,Tilted Kilt
16,Beer Manufacturer,Beau's All Natural Brewing Co.,Lugtread Lagered Ale
17,Beer Manufacturer,Big Rock Brewery,Citradelic Single Hop Citra IPA
18,Beer Manufacturer,Big Rock Brewery,Grasshopper - Kristallweizen - Wheat Ale
19,Beer Manufacturer,Big Rock Brewery,Pilsner Czech Style
20,Beer Manufacturer,Big Rock Brewery,Warthog English Style Mild Ale
21,Beer Manufacturer,Big Rock Brewery,Traditional Ale - English-Style Brown Ale
22,Beer Manufacturer,Big Rock Brewery,Rhinestone Cowboy Kolsch
23,Beer Manufacturer,Creemore Springs Brewery Ltd.,Keller
24,Beer Manufacturer,Creemore Springs Brewery Ltd.,Lager
25,Beer Manufacturer,Creemore Springs Brewery Ltd.,Pilsner
26,Beer Manufacturer,Creemore Springs Brewery Ltd.,Urbock
27,Beer Manufacturer,Labatt Breweries,Blue
28,Beer Manufacturer,Labatt Breweries,Blue Light
29,Beer Manufacturer,Labatt Breweries,Bud Light
30,Beer Manufacturer,Labatt Breweries,Budweiser
31,Beer Manufacturer,Labatt Breweries,Busch
32,Beer Manufacturer,Labatt Breweries,Busch Light
33,Beer Manufacturer,Labatt Breweries,Crystal
34,Beer Manufacturer,Labatt Breweries,Double Blue
35,Beer Manufacturer,Labatt Breweries,Guinness Extra Stout
36,Beer Manufacturer,Labatt Breweries,Labatt 50 Ale
37,Beer Manufacturer,Labatt Breweries,Labatt Extra Dry
38,Beer Manufacturer,Labatt Breweries,Labatt Genuine Honey
39,Beer Manufacturer,Labatt Breweries,Labatt Genuine Lager
40,Beer Manufacturer,Labatt Breweries,Labatt Ice
41,Beer Manufacturer,Labatt Breweries,Lucky Lager
42,Beer Manufacturer,Labatt Breweries,Lucky Light
43,Beer Manufacturer,Labatt Breweries,Maximum Ice
44,Beer Manufacturer,Labatt Breweries,Micks Red
45,Beer Manufacturer,Labatt Breweries,Sterling
46,Beer Manufacturer,Labatt Breweries,Team Bud
47,Beer Manufacturer,Labatt Breweries,Wildcat Lager
48,Beer Manufacturer,Labatt Breweries,Wildcat Strong
